,school_id,mean,intervention,remoteness_index,cct_percentage,student_classroom_ratio,student_teacher_ratio,pwd_total,female_percentage,male_percentage,pca
4641,109507,14.822,1,0.014013146,0.005882353,0.003679176,0.035416667,0,0.364705882,0.308823529,0.000999999
4642,109508,13.248,1,0.005403716,0.048543689,0.013374886,0.0321875,0,0.332254585,0.325242718,0.000999999
4643,109509,15.1,1,0.005856659,0.092753623,0.004977709,0.0359375,0,0.349758454,0.286956522,0.001000055
4644,109510,13.658,1,0.020336793,0.372972973,0.002669206,0.030833333,0,0.4,0.291891892,0.000999999
4645,109511,13.378,1,0.015673937,0.005025126,0.003691543,0.023690476,0,0.388609715,0.266331658,0.000999999
4646,109512,13.44,1,0.013939411,0.675862069,0.003765745,0.020138889,0,0.413793103,0.255172414,0.000999999
4647,109513,14.7,1,0.006980239,0.046511628,0.013028611,0.035833333,0,0.372093023,0.285714286,0.000999999
4648,109514,14.2,1,0.036361849,0.013636364,0.004761286,0.02037037,0,0.375757576,0.279545455,0.000999999
4649,109515,14.774,1,0.006615076,0.086727989,0.003659938,0.030198413,0,0.362680683,0.302233903,0.000999999
4650,109516,13.918,1,0.010916279,0.020689655,0.00235359,0.017261905,0,0.35862069,0.268965517,0.000999999
4651,109517,14.478,1,0.013567225,0.049504951,0.003747194,0.024047619,0,0.356435644,0.287128713,0.000999999
4652,109518,17.444,0,0.008177554,0,0.00438904,0.020119048,0,0.315581854,0.334319527,0
4653,109519,16.4,1,0.005403716,0.018095648,0.00814566,0.035817901,0,0.382306477,0.288453253,0.001000055
